"LengthTidyData_Vector","TidyData_Vector"
"1","Code"
"2","Subject"
"3","Activity"
"4","TimeBodyAccelerometerMean()-X"
"5","TimeBodyAccelerometerMean()-Y"
"6","TimeBodyAccelerometerMean()-Z"
"7","TimeGravityAccelerometerMean()-X"
"8","TimeGravityAccelerometerMean()-Y"
"9","TimeGravityAccelerometerMean()-Z"
"10","TimeBodyAccelerometerJerkMean()-X"
"11","TimeBodyAccelerometerJerkMean()-Y"
"12","TimeBodyAccelerometerJerkMean()-Z"
"13","TimeBodyGyroscopeMean()-X"
"14","TimeBodyGyroscopeMean()-Y"
"15","TimeBodyGyroscopeMean()-Z"
"16","TimeBodyGyroscopeJerkMean()-X"
"17","TimeBodyGyroscopeJerkMean()-Y"
"18","TimeBodyGyroscopeJerkMean()-Z"
"19","TimeBodyAccelerometerMagnitudeMean()"
"20","TimeGravityAccelerometerMagnitudeMean()"
"21","TimeBodyAccelerometerJerkMagnitudeMean()"
"22","TimeBodyGyroscopeMagnitudeMean()"
"23","TimeBodyGyroscopeJerkMagnitudeMean()"
"24","FrequencyBodyAccelerometerMean()-X"
"25","FrequencyBodyAccelerometerMean()-Y"
"26","FrequencyBodyAccelerometerMean()-Z"
"27","FrequencyBodyAccelerometerMeanFrequency()-X"
"28","FrequencyBodyAccelerometerMeanFrequency()-Y"
"29","FrequencyBodyAccelerometerMeanFrequency()-Z"
"30","FrequencyBodyAccelerometerJerkMean()-X"
"31","FrequencyBodyAccelerometerJerkMean()-Y"
"32","FrequencyBodyAccelerometerJerkMean()-Z"
"33","FrequencyBodyAccelerometerJerkMeanFrequency()-X"
"34","FrequencyBodyAccelerometerJerkMeanFrequency()-Y"
"35","FrequencyBodyAccelerometerJerkMeanFrequency()-Z"
"36","FrequencyBodyGyroscopeMean()-X"
"37","FrequencyBodyGyroscopeMean()-Y"
"38","FrequencyBodyGyroscopeMean()-Z"
"39","FrequencyBodyGyroscopeMeanFrequency()-X"
"40","FrequencyBodyGyroscopeMeanFrequency()-Y"
"41","FrequencyBodyGyroscopeMeanFrequency()-Z"
"42","FrequencyBodyAccelerometerMagnitudeMean()"
"43","FrequencyBodyAccelerometerMagnitudeMeanFrequency()"
"44","FrequencyBodyAccelerometerJerkMagnitudeMean()"
"45","FrequencyBodyAccelerometerJerkMagnitudeMeanFrequency()"
"46","FrequencyBodyGyroscopeMagnitudeMean()"
"47","FrequencyBodyGyroscopeMagnitudeMeanFrequency()"
"48","FrequencyBodyGyroscopeJerkMagnitudeMean()"
"49","FrequencyBodyGyroscopeJerkMagnitudeMeanFrequency()"
"50","Angle(TimeBodyAccelerometerMean,GravityMean)"
"51","Angle(TimeBodyAccelerometerJerkMean,GravityMean)"
"52","Angle(TimeBodyGyroscopeMean,GravityMean)"
"53","Angle(TimeBodyGyroscopeJerkMean,GravityMean)"
"54","Angle(X,GravityMean)"
"55","Angle(Y,GravityMean)"
"56","Angle(Z,GravityMean)"
"57","TimeBodyAccelerometerStd()-X"
"58","TimeBodyAccelerometerStd()-Y"
"59","TimeBodyAccelerometerStd()-Z"
"60","TimeGravityAccelerometerStd()-X"
"61","TimeGravityAccelerometerStd()-Y"
"62","TimeGravityAccelerometerStd()-Z"
"63","TimeBodyAccelerometerJerkStd()-X"
"64","TimeBodyAccelerometerJerkStd()-Y"
"65","TimeBodyAccelerometerJerkStd()-Z"
"66","TimeBodyGyroscopeStd()-X"
"67","TimeBodyGyroscopeStd()-Y"
"68","TimeBodyGyroscopeStd()-Z"
"69","TimeBodyGyroscopeJerkStd()-X"
"70","TimeBodyGyroscopeJerkStd()-Y"
"71","TimeBodyGyroscopeJerkStd()-Z"
"72","TimeBodyAccelerometerMagnitudeStd()"
"73","TimeGravityAccelerometerMagnitudeStd()"
"74","TimeBodyAccelerometerJerkMagnitudeStd()"
"75","TimeBodyGyroscopeMagnitudeStd()"
"76","TimeBodyGyroscopeJerkMagnitudeStd()"
"77","FrequencyBodyAccelerometerStd()-X"
"78","FrequencyBodyAccelerometerStd()-Y"
"79","FrequencyBodyAccelerometerStd()-Z"
"80","FrequencyBodyAccelerometerJerkStd()-X"
"81","FrequencyBodyAccelerometerJerkStd()-Y"
"82","FrequencyBodyAccelerometerJerkStd()-Z"
"83","FrequencyBodyGyroscopeStd()-X"
"84","FrequencyBodyGyroscopeStd()-Y"
"85","FrequencyBodyGyroscopeStd()-Z"
"86","FrequencyBodyAccelerometerMagnitudeStd()"
"87","FrequencyBodyAccelerometerJerkMagnitudeStd()"
"88","FrequencyBodyGyroscopeMagnitudeStd()"
"89","FrequencyBodyGyroscopeJerkMagnitudeStd()"
